 # Created by Jason Melbourne November 24 2012, Data from Politico 
 # Col 1: state: State 
 # Col 2: district: district number 
 # Col 3: party: Held by Party 
 # Col 4: demVote: Democratic Vote 
 # Col 5: repVote: Republican Vote 
 state	district	party	demVote	repVote 
alabama                 1    R          0          0 
alabama                 2    R     102836     180339 
alabama                 3    R      97868     174931 
alabama                 4    R      69427     197736 
alabama                 5    R     101504     188833 
alabama                 6    R      86698     215966 
alabama                 7    D     230077      73292 
alaska                  1    R      69723     156994 
arizona                 1    D     117422     109508 
arizona                 2    D     137993     137339 
arizona                 3    D      89278      58258 
arizona                 4    R      66064     156369 
arizona                 5    R      79966     166897 
arizona                 6    R      88151     163755 
arizona                 7    D      89543      20721 
arizona                 8    R      86047     157517 
arizona                 9    D     108056     101089 
arkansas                1    R      95244     137668 
arkansas                2    R     112934     157978 
arkansas                3    R      38244     179732 
arkansas                4    R      94505     153096 
california              1    R     100394     139404 
california              2    D     169637      71258 
california              3    D     105831      90489 
california              4    R     105496     166291 
california              5    D     157220      54671 
california              6    D     135081      45928 
california              7    D     119726     115902 
california              8    R      70608      95962 
california              9    D     103044      85345 
california             10    R      89718     103342 
california             11    D     165830      74017 
california             12    D     237116      42102 
california             13    D     241902      37311 
california             14    D     150716      52465 
california             15    D     115694     105872 
california             16    D      60535      49421 
california             17    D     145371      52869 
california             18    D     185882      79014 
california             19    D     147918      54986 
california             20    D     113536      42325 
california             21    R      38402      55130 
california             22    R      59036      99973 
california             23    R      51101     144477 
california             24    D     143317     118225 
california             25    R      89460     111938 
california             26    D     120881     111562 
california             27    D     134239      77817 
california             28    D     154348      49501 
california             29    D      86848      30463 
california             30    D     117374      77003 
california             31    R      66603      82212 
california             32    D     105219      56994 
california             33    D     142142     124881 
california             34    D      94835      16171 
california             35    D      72562      57304 
california             36    D      98843      91507 
california             37    D     162856      25925 
california             38    D     124503      62041 
california             39    R      94683     135261 
california             40    D      62640      42472 
california             41    D      89599      65990 
california             42    R      74776     117407 
california             43    D     114887      48271 
california             44    D      82577      54852 
california             45    R     111837     161469 
california             46    D      80605      49814 
california             47    D     111529      90060 
california             48    R     103547     164244 
california             49    R      97454     139127 
california             50    R      70228     150369 
california             51    D      85672      36649 
california             52    D     124746     122086 
california             53    D     135014      87950 
colorado                1    D     225138      89297 
colorado                2    D     222367     153305 
colorado                3    R     138242     179745 
colorado                4    R     118920     189757 
colorado                5    R      50876     191198 
colorado                6    R     139439     150587 
colorado                7    D     171874     132727 
connecticut             1    D     203159      81246 
connecticut             2    D     204490      87715 
connecticut             3    D     215702      73633 
connecticut             4    D     171403     115052 
connecticut             5    D     142912     134489 
delaware                1    D     249905     129749 
florida                 1    R      92907     238363 
florida                 2    R     157599     175842 
florida                 3    R     102427     204285 
florida                 4    R      75229     239953 
florida                 5    D     190650      70766 
florida                 6    R     146447     195933 
florida                 7    R     130509     185569 
florida                 8    R     130808     205357 
florida                 9    D     165098      98984 
florida                10    R     153646     164873 
florida                11    R     120253     218315 
florida                12    R     108663     209484 
florida                13    R     139671     189552 
florida                14    D     196993      83385 
florida                15    R          0          0 
florida                16    R     161875     187123 
florida                17    R     116730     165439 
florida                18    D     166223     164316 
florida                19    R     109685     189771 
florida                20    D     214245      29481 
florida                21    D     221188      37764 
florida                22    D     170899     141946 
florida                23    D     174071      98024 
florida                24    D          0          0 
florida                25    R      31628     151361 
florida                26    D     135551     108737 
florida                27    R      84899     138345 
georgia                 1    R      92173     156958 
georgia                 2    D     162244      92275 
georgia                 3    R          0          0 
georgia                 4    D     208395      74909 
georgia                 5    D     230271      42751 
georgia                 6    R     102914     187299 
georgia                 7    R      95056     156484 
georgia                 8    R          0          0 
georgia                 9    R      59449     190456 
georgia                10    R          0          0 
georgia                11    R      89892     196512 
georgia                12    D     138965     119857 
georgia                13    D     200670      79201 
georgia                14    R      59098     159698 
hawaii                  1    D     114756      95431 
hawaii                  2    D     167085      40285 
idaho                   1    R      97403     199445 
idaho                   2    R     110817     207244 
illinois                1    D     225098      79947 
illinois                2    D     181067      67396 
illinois                3    D     160925      74357 
illinois                4    D     128385      25749 
illinois                5    D     168530      73860 
illinois                6    R     131548     191255 
illinois                7    D     224377      29164 
illinois                8    D     121298     100360 
illinois                9    D     179468      91842 
