 #1 State 
 #2 Total Seats 
 #3 Dem Seats 
 #4 Rep Seats 
 #5 Fraction Dem 
 #6 Contested Seats 
 #7 Contested Dem Win 
 #8 Contested Rep Win 
 # Fraction Contested Dem Win 
 #9 Contested Dem Vote 
 #10 Contested Rep Vote 
 #11 Contested Dem Fraction Vote
alabama                 7    1    6  0.14    6    1    5  0.17    1719507     688410  0.40 
alaska                  1    0    1  0.00    1    0    1  0.00     226717      69723  0.31 
arizona                 9    5    4  0.56    9    5    4  0.56    1933973     862520  0.45 
arkansas                4    0    4  0.00    4    0    4  0.00     969401     340927  0.35 
california             53   38   15  0.72   53   38   15  0.72   10441737    6023618  0.58 
colorado                7    3    4  0.43    7    3    4  0.43    2153472    1066856  0.50 
connecticut             5    5    0  1.00    5    5    0  1.00    1429801     937666  0.66 
delaware                1    1    0  1.00    1    1    0  1.00     379654     249905  0.66 
florida                27   10   17  0.37   25    9   16  0.36    7390862    3497894  0.47 
georgia                14    5    9  0.36   11    5    6  0.45    2895527    1439127  0.50 
hawaii                  2    2    0  1.00    2    2    0  1.00     417557     281841  0.67 
idaho                   2    0    2  0.00    2    0    2  0.00     614909     208220  0.34 
illinois               18   12    6  0.67   18   12    6  0.67    4802418    2640819  0.55 
indiana                 9    2    7  0.22    9    2    7  0.22    2472783    1130191  0.46 
iowa                    4    2    2  0.50    4    2    2  0.50    1491503     766634  0.51 
kansas                  4    0    4  0.00    3    0    3  0.00     796900     279946  0.35 
kentucky                7    1    6  0.14    7    1    6  0.14    1989581     788678  0.40 
louisiana               6    1    5  0.17    6    1    5  0.17    1484114     445049  0.30 
maine                   2    2    0  1.00    2    2    0  1.00     686655     423023  0.62 
maryland                8    7    1  0.88    8    7    1  0.88    2314217    1481895  0.64 
massachusetts           9    9    0  1.00    7    7    0  1.00    2278165    1544103  0.68 
michigan               15    6    9  0.40   15    6    9  0.40    4719504    2484151  0.53 
minnesota               8    5    3  0.62    8    5    3  0.62    2774305    1562472  0.56 
mississippi             4    1    3  0.25    4    1    3  0.25    1106863     440236  0.40 
missouri                8    2    6  0.25    8    2    6  0.25    2571468    1111238  0.43 
montana                 1    0    1  0.00    1    0    1  0.00     456455     203748  0.45 
nebraska                3    0    3  0.00    3    0    3  0.00     747636     264154  0.35 
nevada                  4    2    2  0.50    4    2    2  0.50     907765     451452  0.50 
new-hampshire           2    2    0  1.00    2    2    0  1.00     650650     340310  0.52 
new-jersey             13    7    6  0.54   13    7    6  0.54    3142757    1796036  0.57 
new-mexico              3    2    1  0.67    3    2    1  0.67     754913     415456  0.55 
new-york               27   21    6  0.78   27   21    6  0.78    5689314    3652498  0.64 
north-carolina         13    4    9  0.31   13    4    9  0.31    4362283    2219165  0.51 
north-dakota            1    0    1  0.00    1    0    1  0.00     304301     131396  0.43 
ohio                   16    4   12  0.25   14    3   11  0.21    4381064    2065814  0.47 
oklahoma                5    0    5  0.00    5    0    5  0.00    1264566     409482  0.32 
oregon                  5    4    1  0.80    5    4    1  0.80    1589076     919497  0.58 
pennsylvania           18    5   13  0.28   18    5   13  0.28    5374461    2722560  0.51 
rhode-island            2    2    0  1.00    2    2    0  1.00     388470     227600  0.59 
south-carolina          7    1    6  0.14    6    1    5  0.17    1561929     731396  0.47 
south-dakota            1    0    1  0.00    1    0    1  0.00     361306     153725  0.43 
tennessee               9    2    7  0.22    9    2    7  0.22    2185286     824295  0.38 
texas                  36   12   24  0.33   35   12   23  0.34    7252015    3017003  0.42 
utah                    4    1    3  0.25    4    1    3  0.25     883088     295293  0.33 
vermont                 1    1    0  1.00    1    1    0  1.00     276782     209271  0.76 
virginia               11    3    8  0.27   11    3    8  0.27    3570098    1736164  0.49 
washington             11    7    4  0.64   11    7    4  0.64    3121162    1708649  0.55 
west-virginia           3    1    2  0.33    3    1    2  0.33     633046     253741  0.40 
wisconsin               8    3    5  0.38    8    3    5  0.38    2841407    1442491  0.51 
wyoming                 1    0    1  0.00    1    0    1  0.00     222921      57148  0.26 
